证券代码,证券简称,实际控制人名称,实际控制人属性,公司中文名称,注册地址,省份,流通市值,统一社会信用代码
300106.SZ,西部牧业,新疆生产建设兵团农八师国有资产监督管理委员会,地方国资委,新疆西部牧业股份有限公司,新疆维吾尔自治区石河子市开发区北三东路29-2号,新疆维吾尔自治区,"2,115,436,423.1000",91659001751652392K
600145.SH,*ST新亿,黄伟,个人,新疆亿路万源实业控股股份有限公司,新疆维吾尔自治区塔城地区塔城市巴克图路六和广场辽塔赣商大厦,新疆维吾尔自治区,"1,535,833,391.4000",916542002035688270
603080.SH,新疆火炬,赵安林,个人,新疆火炬燃气股份有限公司,新疆维吾尔自治区喀什地区喀什市世纪大道南路77号,新疆维吾尔自治区,"1,968,265,000.0000",91653100748663541B
002700.SZ,ST浩源,周举东,个人,新疆浩源天然气股份有限公司,新疆维吾尔自治区阿克苏市英阿瓦提路2号,新疆维吾尔自治区,"1,600,997,875.2000",916529007846613320
605169.SH,洪通燃气,"刘洪兵,谭素清",个人,新疆洪通燃气股份有限公司,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市延安路37号40-6,新疆维吾尔自治区,"3,192,800,000.0000",91652800715548301W
300313.SZ,ST天山,解直锟,个人,新疆天山畜牧生物工程股份有限公司,新疆维吾尔自治区昌吉市高新区光明南路1号,新疆维吾尔自治区,"2,012,444,656.2800",91652300748699149X
002719.SZ,麦趣尔,"李刚,李勇,李玉瑚,王翠先",个人,麦趣尔集团股份有限公司,新疆维吾尔自治区昌吉回族自治州昌吉市经济技术开发区麦趣尔大道,新疆维吾尔自治区,"1,518,496,065.0400",916523007452118491
603706.SH,东方环宇,"李明,李伟伟",个人,新疆东方环宇燃气股份有限公司,新疆维吾尔自治区昌吉回族自治州昌吉市延安北路198号24层,新疆维吾尔自治区,"2,575,604,910.4000",916523007269460306
002207.SZ,准油股份,解直锟,个人,新疆准东石油技术股份有限公司,新疆维吾尔自治区克拉玛依市克拉玛依区昆仑路553-308号,新疆维吾尔自治区,"2,279,881,788.6000",91650200729156392B
002828.SZ,贝肯能源,陈平贵,个人,新疆贝肯能源工程股份有限公司,新疆维吾尔自治区克拉玛依市白碱滩区门户路91号,新疆维吾尔自治区,"1,847,076,044.0000",916502006978024838
603032.SH,*ST德新,胡成中,个人,德力西新疆交通运输集团股份有限公司,新疆维吾尔自治区乌鲁木齐市沙依巴克区黑龙江路51号,新疆维吾尔自治区,"9,744,091,740.0000",91650100748686233F
