评论时间,评论内容
2023-20-09/23/23 22:20,半佛半佛～回形针说吗～
2023-20-09/23/23 22:20,让我妈买过生命一号[奋斗][奋斗][奋斗]
2023-20-09/23/23 22:20,红桃K呢？
2023-20-09/23/23 22:20,耶
2023-20-09/23/23 22:20,"点一下今年找到漂亮老婆[doge]
↓"
2023-20-09/23/23 22:20,所以脑白金是不是智商税产品[doge]
2023-20-09/23/23 22:20,没快进，全部看完了
2023-20-09/23/23 22:20,围观ヾ(･ω･*)ﾉ
2023-20-09/23/23 22:20,坏逼一个。还钱是为了可以继续回牌桌骗钱。
2023-20-09/23/23 22:20,想到史玉柱当年也绝望过，然后就去爬喜马拉雅山。爬之前想“爬了，回来了最好，享受。回不来，总比自杀好”
2023-20-09/23/23 22:20,不知道为啥，每次开始颓废后，来看半佛的视频后，我又有动力了。然后又很长一段时间不上B站了[笑哭]
2023-20-09/23/23 22:20,半佛老师出个每个女人心里都有一个哥哥的题目吧
2023-20-09/23/23 22:20,我觉得在中国能把欠别人的钱还上，已经是不错的企业家了，他当时已经破产了，完全可以不还钱的。[吃瓜]
2023-20-09/23/23 22:20,在商业世界里史玉柱可以说是道德楷模了，他至少遵守基本的商业规则，无非是利用规则，一个公开的规则。但从传统东方式的道德中，史玉柱无疑又是最为糟糕的，他为了赚钱不择手段，利用人性的漏洞，无情的下手。
2023-20-09/23/23 22:20,第一次知道史玉柱的人生履历还是看《重生野性时代》
2023-20-09/23/23 22:20,史玉柱确实牛，这年头成功的人很多，但是能从天堂跌到地狱又从地狱重新爬上来的确实凤毛麟角[OK]
2023-20-09/23/23 22:20,就硬卷，何时才能发展到不内卷的地步[无语]
2023-20-09/23/23 22:20,可惜现在国家有一套完整的法律
2023-20-09/23/23 22:20,一阴一阳，做人做事，什么是人，欲望满身，他混在鬼中间能让人比鬼还高兴。[doge]
